Description,Price,Bedrooms,Bathrooms,Parking Spaces,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Community,City,Province,Postal Code
4 Bedrooms 4 Bathrooms 3 Storey,819900.0,4,4,0,1912.0,0.0,2022,Single Family,Residential Detached Single Family,3 Storey,Nw,Parkallen,Edmonton,Alberta,T6H 3C6
5 Bedrooms 4 Bathrooms 2 Storey,679900.0,5,4,4,1820.0,0.17,1954,Single Family,Residential Detached Single Family,2 Storey,9835 147 Street Nw,Crestwood,Edmonton,Alberta,T5N 3B5
6 Bedrooms 5 Bathrooms 2 Storey,2999900.0,6,5,0,5294.0,0.0,2011,Single Family,Residential Detached Single Family,2 Storey,8910 119 Street Nw,Windsor Park,Edmonton,Alberta,T6G 1W9
4 Bedrooms 4 Bathrooms 3 Storey,999900.0,4,4,0,2281.0,0.0,2022,Single Family,Residential Detached Single Family,3 Storey,11440 75 Avenue Nw,Belgravia,Edmonton,Alberta,T6G 0H7
7 Bedrooms 2 Bathrooms Bungalow,899900.0,7,2,0,1776.0,0.2,1950,Single Family,Residential Detached Single Family,Bungalow,10704 78 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1P6
3 Bedrooms 3 Bathrooms Bungalow,384900.0,3,3,0,1056.0,0.16,1968,Single Family,Residential Detached Single Family,Bungalow,16823 96 Avenue Nw,Glenwood,Edmonton,Alberta,T5P 0E2
4 Bedrooms 4 Bathrooms 2 Storey,899900.0,4,4,0,1753.0,0.26,1953,Single Family,Residential Detached Single Family,2 Storey,11752 University Avenue Nw,Windsor Park,Edmonton,Alberta,T6G 1Z5
5 Bedrooms 5 Bathrooms 2 Storey,1799888.0,5,5,0,4732.0,0.0,1992,Single Family,Residential Detached Single Family,2 Storey,12428 103 Avenue Nw,Westmount,Edmonton,Alberta,T5N 0R3
3 Bedrooms 4 Bathrooms 3 Storey,662000.0,3,4,2,2874.0,0.09,2013,Single Family,Residential Detached Single Family,3 Storey,5032 Dewolf Road Nw,Griesbach,Edmonton,Alberta,T5E 6R4
5 Bedrooms 4 Bathrooms 2 and Half Storey,899999.0,5,4,5,3015.0,0.17,2004,Single Family,Residential Detached Single Family,2 and Half Storey,10244 89 Street Nw,Riverdale,Edmonton,Alberta,T5H 1R1
5 Bedrooms 4 Bathrooms 2 and Half Storey,1459000.0,5,4,0,2356.0,0.1,2018,Single Family,Residential Detached Single Family,2 and Half Storey,9632 96 Street Nw,Cloverdale,Edmonton,Alberta,T6C 3Z2
3 Bedrooms 2 Bathrooms 2 Storey,279900.0,3,2,0,1437.0,0.1,1955,Single Family,Residential Detached Single Family,2 Storey,9732 66 Avenue Nw,Hazeldean,Edmonton,Alberta,T6E 0M3
2 Bedrooms 2 Bathrooms 2 Storey,799000.0,2,2,0,1513.0,0.14,1954,Single Family,Residential Detached Single Family,2 Storey,14330 Park Drive Nw,Parkview,Edmonton,Alberta,T5R 5V2
8 Bedrooms 4 Bathrooms 2 and Half Storey,748888.0,8,4,0,2007.0,0.0,1922,Single Family,Residential Detached Single Family,2 and Half Storey,7224 106 Street Nw,Queen Alexandra,Edmonton,Alberta,T6E 4V6
5 Bedrooms 3 Bathrooms 2 Storey,499000.0,5,3,5,1755.0,0.15,1962,Single Family,Residential Detached Single Family,2 Storey,7536 94 Avenue Nw,Holyrood,Edmonton,Alberta,T6C 1W1
4 Bedrooms 5 Bathrooms 2 and Half Storey,1499000.0,4,5,0,2647.0,0.09,2022,Single Family,Residential Detached Single Family,2 and Half Storey,8904 140 Street Nw Nw,Parkview,Edmonton,Alberta,T5R 0J3
4 Bedrooms 4 Bathrooms 2 Storey,799000.0,4,4,0,1707.0,0.1,2003,Single Family,Residential Detached Single Family,2 Storey,11809 71a Avenue Nw,Belgravia,Edmonton,Alberta,T6G 2W5
5 Bedrooms 4 Bathrooms 2 Storey,474900.0,5,4,0,1953.0,0.14,1978,Single Family,Residential Detached Single Family,2 Storey,87 Gariepy Crescent Nw,Gariepy,Edmonton,Alberta,T6M 1B5
3 Bedrooms 2 Bathrooms 2 Storey,199900.0,3,2,0,1065.0,0.09,1914,Single Family,Residential Detached Single Family,2 Storey,11538 89 Street Nw,Alberta Avenue,Edmonton,Alberta,T5B 3T9
4 Bedrooms 4 Bathrooms 2 Storey,1999000.0,4,4,0,2671.0,0.0,1955,Single Family,Residential Detached Single Family,2 Storey,9507 141 Street Nw,Crestwood,Edmonton,Alberta,T5N 2M5
4 Bedrooms 4 Bathrooms 2 Storey,769900.0,4,4,0,2201.0,0.0,2022,Single Family,Residential Detached Single Family,2 Storey,10983 122 Street Nw,Westmount,Edmonton,Alberta,T5M 0A9
4 Bedrooms 5 Bathrooms 2 and Half Storey,1049000.0,4,5,6,2468.0,0.15,1987,Single Family,Residential Detached Single Family,2 and Half Storey,7314 Ada Boulevard Nw,Virginia Park,Edmonton,Alberta,T5B 4E5
3 Bedrooms 3 Bathrooms 2 Storey,335000.0,3,3,3,1547.0,0.13,1979,Single Family,Residential Detached Single Family,2 Storey,11411 141 Avenue Nw,Carlisle,Edmonton,Alberta,T5X 3Z6
2 Bedrooms 1 Bathrooms Bungalow,159900.0,2,1,0,943.0,0.09,1942,Single Family,Residential Detached Single Family,Bungalow,12144 95 Street Nw,Alberta Avenue,Edmonton,Alberta,T5G 1M8
5 Bedrooms 3 Bathrooms 4 Level Split,539900.0,5,3,3,1503.0,0.16,1960,Single Family,Residential Detached Single Family,4 Level Split,15410 75 Avenue Nw,Rio Terrace,Edmonton,Alberta,T5R 2Z1
6 Bedrooms 4 Bathrooms 2 Storey,849900.0,6,4,0,2310.0,0.1,2015,Single Family,Residential Detached Single Family,2 Storey,9710 75 Avenue Nw,Ritchie,Edmonton,Alberta,T6E 1H8
6 Bedrooms 4 Bathrooms 2 Storey,975000.0,6,4,6,3358.0,0.29,1986,Single Family,Residential Detached Single Family,2 Storey,242 Wolf Ridge Close Nw,Oleskiw,Edmonton,Alberta,T5T 5M6
6 Bedrooms 4 Bathrooms 2 Storey,429000.0,6,4,0,1488.0,0.12,1963,Single Family,Residential Detached Single Family,2 Storey,13335 96 Street Nw Nw,Glengarry,Edmonton,Alberta,T5E 4B5
5 Bedrooms 5 Bathrooms 2 Storey,2195000.0,5,5,3,3190.0,0.16,2022,Single Family,Residential Detached Single Family,2 Storey,13503 105 Avenue Nw,Glenora,Edmonton,Alberta,T5N 2E9
6 Bedrooms 6 Bathrooms 2 and Half Storey,4700000.0,6,6,0,4327.0,0.11,2019,Single Family,Residential Detached Single Family,2 and Half Storey,9213 97 Street Nw,Mill Creek Ravine North,Edmonton,Alberta,T6E 3L1
5 Bedrooms 4 Bathrooms 2 Storey,449900.0,5,4,0,1399.0,0.08,2015,Single Family,Residential Detached Single Family,2 Storey,259 Ebbers Boulevard Nw Nw,Ebbers,Edmonton,Alberta,T5Y 1R8
4 Bedrooms 4 Bathrooms 2 Storey,825000.0,4,4,0,1929.0,0.08,2022,Single Family,Residential Detached Single Family,2 Storey,10824 128 Street Nw,Westmount,Edmonton,Alberta,T5M 0W2
4 Bedrooms 6 Bathrooms 3 Storey,4295000.0,4,6,6,4158.0,0.26,2013,Single Family,Residential Detached Single Family,3 Storey,12511 Grand View Drive Nw,Grandview Heights,Edmonton,Alberta,T6H 4K5
4 Bedrooms 4 Bathrooms 3 Storey,819800.0,4,4,0,1912.0,0.0,2022,Single Family,Residential Detached Single Family,3 Storey,5412 114b Street Nw,Lendrum Place,Edmonton,Alberta,T6H 3N6
4 Bedrooms 2 Bathrooms 2 Storey,425000.0,4,2,0,1592.0,0.15,1953,Single Family,Residential Detached Single Family,2 Storey,10819 138 Street Nw,North Glenora,Edmonton,Alberta,T5M 1P1
5 Bedrooms 4 Bathrooms 2 Storey,900000.0,5,4,3,2147.0,0.1,2020,Single Family,Residential Detached Single Family,2 Storey,10926 72 Avenue Nw,Mckernan,Edmonton,Alberta,T6G 0A9
4 Bedrooms 3 Bathrooms Bungalow,869000.0,4,3,0,1401.0,0.0,2014,Single Family,Residential Detached Single Family,Bungalow,6919 93 Street Nw,Hazeldean,Edmonton,Alberta,T6E 3B7
3 Bedrooms 3 Bathrooms Bungalow,399900.0,3,3,5,1390.0,0.21,1958,Single Family,Residential Detached Single Family,Bungalow,12427 82 Street Nw,Elmwood Park,Edmonton,Alberta,T5B 2X5
4 Bedrooms 4 Bathrooms 2 Storey,1565000.0,4,4,4,2567.0,0.0,2021,Single Family,Residential Detached Single Family,2 Storey,7804 142 Street Nw,Laurier Heights,Edmonton,Alberta,T4R 0L8
2 Bedrooms 1 Bathrooms 2 Storey,147900.0,2,1,1,869.0,0.02,1971,Condo / Townhouse,Lowrise Apartment,2 Storey,Nw,Oliver,Edmonton,Alberta,T5K 2E4
2 Bedrooms 2 Bathrooms 2 Storey,409900.0,2,2,0,1510.0,0.0,1994,Condo / Townhouse,Lowrise Apartment,2 Storey,# 506 10809 Saskatchewan Drive Nw,Garneau,Edmonton,Alberta,T6E 4S5
2 Bedrooms 2 Bathrooms 2 Storey,82900.0,2,2,0,1049.0,0.0,1971,Condo / Townhouse,Lowrise Apartment,2 Storey,# 203 7835 159 Street Nw,Patricia Heights,Edmonton,Alberta,T5R 2E1
1 Bedrooms 2 Bathrooms 2 Storey,259000.0,1,2,0,651.0,0.01,1981,Condo / Townhouse,Lowrise Apartment,2 Storey,# 420 11618 100 Avenue Nw,Oliver,Edmonton,Alberta,T5K 0J9
3 Bedrooms 2 Bathrooms 2 Storey,396800.0,3,2,0,1012.0,0.0,2011,Condo / Townhouse,Lowrise Apartment,2 Storey,# 26 11518 76 Avenue Nw,Belgravia,Edmonton,Alberta,T6G 0K7
2 Bedrooms 2 Bathrooms 2 Storey,390900.0,2,2,0,1167.0,0.0,1948,Condo / Townhouse,Lowrise Apartment,2 Storey,# 407 10728 82 Avenue Nw Nw,Garneau,Edmonton,Alberta,T6E 6P5
2 Bedrooms 2 Bathrooms 2 Storey,74900.0,2,2,0,1060.0,0.04,1971,Condo / Townhouse,Lowrise Apartment,2 Storey,# 205 7805 159 Street Nw,Patricia Heights,Edmonton,Alberta,T5R 2E1
2 Bedrooms 2 Bathrooms 2 Storey,72900.0,2,2,0,1045.0,0.04,1971,Condo / Townhouse,Lowrise Apartment,2 Storey,# 209 7835 159 Street Nw,Patricia Heights,Edmonton,Alberta,T5R 2E1
2 Bedrooms 2 Bathrooms 2 Storey,79900.0,2,2,0,1023.0,0.04,1971,Condo / Townhouse,Lowrise Apartment,2 Storey,# 213 7835 159 Street Nw,Patricia Heights,Edmonton,Alberta,T5R 2E1
2 Bedrooms 1 Bathrooms 2 Storey,199999.0,2,1,0,1059.0,0.0,1972,Condo / Townhouse,Lowrise Apartment,2 Storey,# 204 17104 86 Avenue Nw Nw,Thorncliffe,Edmonton,Alberta,T5T 0J2
2 Bedrooms 2 Bathrooms Single Level Apartment,189000.0,2,2,0,904.0,0.0,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 249 301 Clareview Station Drive Nw,Clareview Town Centre,Edmonton,Alberta,T4E 2Y7
2 Bedrooms 2 Bathrooms Single Level Apartment,239000.0,2,2,0,903.0,0.01,2009,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 208 8730 82 Avenue Nw,Bonnie Doon,Edmonton,Alberta,T6C 0Z1
2 Bedrooms 2 Bathrooms Single Level Apartment,214900.0,2,2,1,872.0,0.0,2016,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 215 2229 44 Avenue Nw,Larkspur,Edmonton,Alberta,T6T 0W6
2 Bedrooms 2 Bathrooms Single Level Apartment,169900.0,2,2,1,985.0,0.0,1999,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 204 17150 94a Avenue Nw,Summerlea,Edmonton,Alberta,T5T 6L7
1 Bedrooms 2 Bathrooms Single Level Apartment,323900.0,1,2,1,1174.0,0.02,2003,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 405 9811 96a Street Nw,Cloverdale,Edmonton,Alberta,T6A 4A4
1 Bedrooms 1 Bathrooms Single Level Apartment,93000.0,1,1,0,636.0,0.0,1969,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 204 9725 82 Avenue Nw,Ritchie,Edmonton,Alberta,T6E 1Y6
1 Bedrooms 1 Bathrooms Single Level Apartment,89999.0,1,1,1,654.0,0.01,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 102 10145 113 Street Nw,Oliver,Edmonton,Alberta,T5K 1P1
1 Bedrooms 1 Bathrooms Single Level Apartment,89900.0,1,1,0,688.0,0.0,1978,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 7203 171 Street Nw,Callingwood North,Edmonton,Alberta,T5T 2R1
2 Bedrooms 1 Bathrooms Single Level Apartment,89900.0,2,1,0,685.0,0.0,1968,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 10345 123 Street Nw,Oliver,Edmonton,Alberta,T5N 1N5
2 Bedrooms 2 Bathrooms Single Level Apartment,214900.0,2,2,3,1084.0,0.0,2008,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 105 9820 165 Street Nw,Glenwood,Edmonton,Alberta,T5P 0N3
2 Bedrooms 2 Bathrooms Single Level Apartment,369900.0,2,2,2,960.0,0.0,2003,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 307 11103 84 Avenue Nw,Garneau,Edmonton,Alberta,T6G 2X4
1 Bedrooms 1 Bathrooms Single Level Apartment,59900.0,1,1,1,728.0,0.02,1975,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 105 10023 164 Street Nw,Glenwood,Edmonton,Alberta,T5P 4L4
2 Bedrooms 1 Bathrooms Single Level Apartment,84000.0,2,1,0,1002.0,0.0,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 112 10835 114 Street Nw,Queen Mary Park,Edmonton,Alberta,T5H 3K3
2 Bedrooms 2 Bathrooms Single Level Apartment,210000.0,2,2,0,958.0,0.01,2001,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 404 10033 116 Street Nw,Oliver,Edmonton,Alberta,T5K 2X5
1 Bedrooms 1 Bathrooms Single Level Apartment,119900.0,1,1,0,648.0,0.0,1972,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 303 8604 Gateway Boulevard Nw,Strathcona,Edmonton,Alberta,T6E 4B6
2 Bedrooms 2 Bathrooms Single Level Apartment,162400.0,2,2,2,769.0,0.0,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 118 7511 171 Street Nw,Callingwood North,Edmonton,Alberta,T5T 6S7
2 Bedrooms 2 Bathrooms Single Level Apartment,219900.0,2,2,0,1007.0,0.01,1998,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 205 10933 124 Street Nw,Westmount,Edmonton,Alberta,T5M 4E1
2 Bedrooms 2 Bathrooms Single Level Apartment,289000.0,2,2,0,1300.0,0.0,2001,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 411 8956 156 Street Nw,Meadowlark Park,Edmonton,Alberta,T5R 5Z6
2 Bedrooms 2 Bathrooms Single Level Apartment,263000.0,2,2,0,910.0,0.01,2013,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 302 10523 123 Street Nw,Westmount,Edmonton,Alberta,T5N 1N9
1 Bedrooms 1 Bathrooms Single Level Apartment,94999.0,1,1,0,575.0,0.0,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 127 11325 83 Street Nw,Parkdale,Edmonton,Alberta,T5B 4W5
2 Bedrooms 1 Bathrooms Single Level Apartment,89900.0,2,1,1,825.0,0.0,1972,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,104d 2908 116a Avenue Nw Nw,Rundle Heights,Edmonton,Alberta,T5W 4R7
2 Bedrooms 2 Bathrooms Single Level Apartment,183000.0,2,2,1,810.0,0.0,2013,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 361 1196 Hyndman Road Nw,Canon Ridge,Edmonton,Alberta,T5A 0X8
2 Bedrooms 2 Bathrooms Single Level Apartment,179900.0,2,2,0,947.0,0.0,2000,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 206 11104 109 Avenue Nw,Queen Mary Park,Edmonton,Alberta,T5H 1E1
1 Bedrooms 1 Bathrooms Single Level Apartment,120000.0,1,1,1,710.0,0.0,1992,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 102 12205 111 Avenue Nw,Westmount,Edmonton,Alberta,T5M 2N2
2 Bedrooms 2 Bathrooms Single Level Apartment,459900.0,2,2,1,1180.0,0.02,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 102 14205 96 Avenue Nw,Crestwood,Edmonton,Alberta,T5N 0C2
1 Bedrooms 1 Bathrooms Single Level Apartment,155000.0,1,1,0,536.0,0.0,1966,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 9 10720 85 Avenue Nw,Garneau,Edmonton,Alberta,T6E 2K8
2 Bedrooms 2 Bathrooms Single Level Apartment,179900.0,2,2,0,769.0,0.0,2016,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 413 142 Ebbers Boulevard Nw,Ebbers,Edmonton,Alberta,T5Y 3W2
2 Bedrooms 1 Bathrooms Single Level Apartment,127702.0,2,1,0,826.0,0.0,1982,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 415 3610 43 Avenue Nw,Kiniski Gardens,Edmonton,Alberta,T6L 5T2
2 Bedrooms 2 Bathrooms Single Level Apartment,225000.0,2,2,0,819.0,0.02,2016,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 413 3670 139 Avenue Nw,Clareview Town Centre,Edmonton,Alberta,T5Y 3N5
2 Bedrooms 1 Bathrooms Single Level Apartment,230000.0,2,1,0,915.0,0.01,1998,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 104 10711 83 Avenue Nw,Garneau,Edmonton,Alberta,T6E 2E5
2 Bedrooms 2 Bathrooms Single Level Apartment,158500.0,2,2,0,883.0,0.02,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 122 14259 50 Street Nw,Miller,Edmonton,Alberta,T5A 5J2
1 Bedrooms 2 Bathrooms Single Level Apartment,264900.0,1,2,0,997.0,0.0,1997,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 106 7951 96 Street Nw,Ritchie,Edmonton,Alberta,T6C 4R1
2 Bedrooms 2 Bathrooms Single Level Apartment,224900.0,2,2,1,867.0,0.0,2002,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 508 9938 104 Street Nw,Downtown,Edmonton,Alberta,T5K 2X7
2 Bedrooms 1 Bathrooms Single Level Apartment,134999.0,2,1,0,828.0,0.0,1970,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,303 11425 41 Avenue Nw,Royal Gardens,Edmonton,Alberta,T6J 0T9
2 Bedrooms 2 Bathrooms Single Level Apartment,189900.0,2,2,0,1043.0,0.0,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 107 13635 34 Street Nw,Belmont,Edmonton,Alberta,T5A 0C4
2 Bedrooms 2 Bathrooms Single Level Apartment,249900.0,2,2,0,948.0,0.02,2008,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 109 9603 98 Avenue Nw,Cloverdale,Edmonton,Alberta,T6C 2E2
1 Bedrooms 1 Bathrooms Single Level Apartment,225000.0,1,1,1,689.0,0.01,2016,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 404 10418 81 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6E 1X5
1 Bedrooms 1 Bathrooms Single Level Apartment,99900.0,1,1,0,593.0,0.0,1968,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,102-7111 80 Avenue Nw,King Edward Park,Edmonton,Alberta,T6B 0C7
2 Bedrooms 1 Bathrooms Single Level Apartment,209900.0,2,1,1,750.0,0.01,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 408 10606 102 Avenue Nw,Downtown,Edmonton,Alberta,T5J 5E9
2 Bedrooms 1 Bathrooms Single Level Apartment,82500.0,2,1,0,977.0,0.0,1971,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 10835 114 Street Nw Nw,Queen Mary Park,Edmonton,Alberta,T5H 3K3
1 Bedrooms 1 Bathrooms Single Level Apartment,59000.0,1,1,1,532.0,0.02,1968,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 105 10811 115 Street Nw,Queen Mary Park,Edmonton,Alberta,T5L 5H5
2 Bedrooms 2 Bathrooms Single Level Apartment,249500.0,2,2,0,1174.0,0.0,1999,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 406 8922 156 Street Nw,Meadowlark Park,Edmonton,Alberta,T5R 5Z3
1 Bedrooms 1 Bathrooms Single Level Apartment,129000.0,1,1,0,661.0,0.01,1996,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 209 13450 114 Avenue Nw,Woodcroft,Edmonton,Alberta,T5M 4C4
2 Bedrooms 2 Bathrooms Single Level Apartment,169888.0,2,2,2,839.0,0.0,2007,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 2203 320 Clareview Station Drive Nw,Clareview Town Centre,Edmonton,Alberta,T5Y 0E5
2 Bedrooms 2 Bathrooms Single Level Apartment,183000.0,2,2,1,1005.0,0.0,1997,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 203 8215 84 Avenue Nw,Idylwylde,Edmonton,Alberta,T6C 4R2
2 Bedrooms 2 Bathrooms Single Level Apartment,220000.0,2,2,0,1118.0,0.03,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 227 6315 135 Avenue Nw,Belvedere,Edmonton,Alberta,T5A 5J7
2 Bedrooms 2 Bathrooms Single Level Apartment,190000.0,2,2,0,990.0,0.01,2001,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 112 10951 124 Street Nw,Westmount,Edmonton,Alberta,T5N 4E1
2 Bedrooms 2 Bathrooms Single Level Apartment,178800.0,2,2,0,1029.0,0.02,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 202 4403 23 Street Nw,Larkspur,Edmonton,Alberta,T6T 0E4
1 Bedrooms 1 Bathrooms Single Level Apartment,69800.0,1,1,0,678.0,0.02,1980,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 103 10842 107 Street Nw,Central Mcdougall,Edmonton,Alberta,T5H 2Z3
2 Bedrooms 2 Bathrooms Single Level Apartment,179000.0,2,2,0,758.0,0.01,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 306 8528 82 Avenue Nw,Bonnie Doon,Edmonton,Alberta,T6C 0Y8
1 Bedrooms 1 Bathrooms Single Level Apartment,109900.0,1,1,0,568.0,0.0,1978,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 204 10624 123 Street Nw,Westmount,Edmonton,Alberta,T5N 1P2
2 Bedrooms 2 Bathrooms Single Level Apartment,279900.0,2,2,2,1055.0,0.0,1999,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 432 10023 110 Street Nw Nw,Oliver,Edmonton,Alberta,T5K 1J5
1 Bedrooms 1 Bathrooms Single Level Apartment,119500.0,1,1,0,640.0,0.0,1970,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 308 11440 40 Avenue Nw,Royal Gardens,Edmonton,Alberta,T6J 0R5
2 Bedrooms 2 Bathrooms Single Level Apartment,229900.0,2,2,0,994.0,0.0,2001,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 201 10033 116 Street Nw,Oliver,Edmonton,Alberta,T5K 2X5
2 Bedrooms 2 Bathrooms Single Level Apartment,129900.0,2,2,0,840.0,0.0,1997,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 312 4220 139 Avenue Nw,Clareview Town Centre,Edmonton,Alberta,T5Y 2Y2
1 Bedrooms 1 Bathrooms Single Level Apartment,89900.0,1,1,0,493.0,0.0,1964,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 2 10230 122 Street Nw,Oliver,Edmonton,Alberta,T5N 1L9
2 Bedrooms 2 Bathrooms Single Level Apartment,189000.0,2,2,0,1421.0,0.0,1976,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 305 14810 51 Avenue Nw,Brander Gardens,Edmonton,Alberta,T6H 5G5
1 Bedrooms 1 Bathrooms Single Level Apartment,124900.0,1,1,0,491.0,0.0,1968,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 205 10160 83 Avenue Nw,Strathcona,Edmonton,Alberta,T6E 2C4
1 Bedrooms 1 Bathrooms Single Level Apartment,269900.0,1,1,1,476.0,0.0,2019,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 407 11503 76 Avenue Nw,Belgravia,Edmonton,Alberta,T6G 0K6
1 Bedrooms 1 Bathrooms Single Level Apartment,79000.0,1,1,0,568.0,0.02,1983,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 301 10136 160 Street Nw,Britannia Youngstown,Edmonton,Alberta,T5P 3E7
3 Bedrooms 1 Bathrooms Single Level Apartment,149900.0,3,1,1,1047.0,0.0,1970,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 6 11112 129 Street Nw,Inglewood,Edmonton,Alberta,T5M 0Y5
1 Bedrooms 1 Bathrooms Single Level Apartment,56000.0,1,1,0,541.0,0.01,1979,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 108 10139 117 Street Nw,Oliver,Edmonton,Alberta,T5K 2L3
2 Bedrooms 2 Bathrooms Single Level Apartment,162900.0,2,2,0,1091.0,0.03,1995,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 101 11218 80 Street Nw,Cromdale,Edmonton,Alberta,T5B 4V9
2 Bedrooms 2 Bathrooms Single Level Apartment,314900.0,2,2,2,1096.0,0.01,2000,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 309 8909 100 Street Nw,Strathcona,Edmonton,Alberta,T6E 6T4
2 Bedrooms 2 Bathrooms Single Level Apartment,285000.0,2,2,2,906.0,0.0,1993,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 105 11716 100 Avenue Nw,Oliver,Edmonton,Alberta,T5K 2G3
2 Bedrooms 2 Bathrooms Single Level Apartment,155000.0,2,2,0,1058.0,0.02,2006,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 213 4304 139 Avenue Nw,Clareview Town Centre,Edmonton,Alberta,T5Y 0H6
2 Bedrooms 1 Bathrooms Single Level Apartment,79900.0,2,1,1,845.0,0.0,1962,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 8 6103 98 Avenue Nw,Ottewell,Edmonton,Alberta,T6A 0A3
2 Bedrooms 2 Bathrooms Single Level Apartment,169900.0,2,2,1,1059.0,0.0,1978,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 208 11217 103 Avenue Nw,Oliver,Edmonton,Alberta,T5K 2V9
2 Bedrooms 1 Bathrooms Single Level Apartment,89900.0,2,1,0,801.0,0.0,1953,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 8 11604 112 Avenue Nw,Prince Rupert,Edmonton,Alberta,T5G 0H7
2 Bedrooms 2 Bathrooms Single Level Apartment,169000.0,2,2,0,866.0,0.1,2004,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 125 13005 140 Avenue Nw,Pembina,Edmonton,Alberta,T6V 1X1
2 Bedrooms 2 Bathrooms Single Level Apartment,199900.0,2,2,2,1061.0,0.02,2007,Condo / Townhouse,Lowrise Apartment,Single Level Apartment,# 207 14612 125 Street Nw Nw,Baranow,Edmonton,Alberta,T5X 0B6
